q[nm-1] time=2017-08-25T18:23:53.458387+0200|I_title=NSH2_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
5.1140600000e-01 2.1477000000e-03 1.5301076471e-04 
5.1512600000e-01 2.0307500000e-03 1.5173696442e-04 
5.1884500000e-01 2.0639000000e-03 1.5162861471e-04 
5.2256400000e-01 1.9861200000e-03 1.4997301927e-04 
5.2628400000e-01 2.1086500000e-03 1.5021474555e-04 
5.3000300000e-01 2.0958800000e-03 1.4908811080e-04 
5.3372200000e-01 2.0870000000e-03 1.4815385661e-04 
5.3744100000e-01 2.0506600000e-03 1.4817241633e-04 
5.4116100000e-01 2.0861000000e-03 1.4806322777e-04 
5.4488000000e-01 2.2640500000e-03 1.4816088408e-04 
5.4859900000e-01 2.2345300000e-03 1.4796257800e-04 
5.5231900000e-01 2.1001000000e-03 1.4684692190e-04 
5.5603800000e-01 1.9176800000e-03 1.4487739111e-04 
5.5975700000e-01 1.9516400000e-03 1.4453195864e-04 
5.6347700000e-01 2.1536200000e-03 1.4503574559e-04 
5.6719600000e-01 2.2194800000e-03 1.4485797452e-04 
5.7091500000e-01 2.2420000000e-03 1.4442771937e-04 
5.7463500000e-01 2.0543100000e-03 1.4297579206e-04 
5.7835400000e-01 2.1328600000e-03 1.4252886434e-04 
5.8207300000e-01 2.1361100000e-03 1.4203284730e-04 
5.8579300000e-01 2.1608200000e-03 1.4215143019e-04 
5.8951200000e-01 2.1419100000e-03 1.4151686628e-04 
5.9323100000e-01 2.3502400000e-03 1.4221059765e-04 
5.9695100000e-01 2.2406600000e-03 1.4109642067e-04 
6.0067000000e-01 2.1496300000e-03 1.4026834895e-04 
6.0438900000e-01 2.0211200000e-03 1.3906176487e-04 
6.0810900000e-01 2.0385100000e-03 1.3860881471e-04 
6.1182800000e-01 2.0944600000e-03 1.3848689060e-04 
6.1554700000e-01 2.1366600000e-03 1.3827747045e-04 
6.1926700000e-01 2.2723400000e-03 1.3859544830e-04 
6.2298600000e-01 2.3179900000e-03 1.3848658827e-04 
6.2670500000e-01 2.1997700000e-03 1.3735635152e-04 
6.3042400000e-01 2.1945200000e-03 1.3696330766e-04 
6.3414400000e-01 2.3247100000e-03 1.3727269535e-04 
6.3786300000e-01 2.3274100000e-03 1.3697493490e-04 
6.4158200000e-01 2.3295700000e-03 1.3673031162e-04 
6.4530200000e-01 2.2498700000e-03 1.3572727619e-04 
6.4902100000e-01 1.9895600000e-03 1.3373492602e-04 
6.5274000000e-01 1.9255000000e-03 1.3313268308e-04 
6.5646000000e-01 2.0584800000e-03 1.3348750469e-04 
6.6017900000e-01 2.0882800000e-03 1.3318812149e-04 
6.6389800000e-01 2.2412200000e-03 1.3359634296e-04 
6.6761800000e-01 2.3960100000e-03 1.3386871535e-04 
6.7133700000e-01 2.5602500000e-03 1.3433888322e-04 
6.7505600000e-01 2.3703600000e-03 1.3312037296e-04 
6.7877600000e-01 2.1400600000e-03 1.3145109534e-04 
6.8249500000e-01 2.3042500000e-03 1.3199016067e-04 
6.8621400000e-01 2.4352200000e-03 1.3237846117e-04 
6.8993400000e-01 2.2641300000e-03 1.3134173691e-04 
6.9365300000e-01 2.2320900000e-03 1.3086659052e-04 
6.9737200000e-01 2.1853700000e-03 1.3012694412e-04 
7.0109200000e-01 2.3177700000e-03 1.3026633677e-04 
7.0481100000e-01 2.4826100000e-03 1.3071047924e-04 
7.0853000000e-01 2.3769400000e-03 1.3007052748e-04 
7.1224900000e-01 2.5826700000e-03 1.3058529871e-04 
7.1596900000e-01 2.7807400000e-03 1.3115657188e-04 
7.1968800000e-01 2.5405000000e-03 1.2952426232e-04 
7.2340700000e-01 2.4451100000e-03 1.2882509118e-04 
7.2712700000e-01 2.4361400000e-03 1.2862875230e-04 
7.3084600000e-01 2.4231600000e-03 1.2817295889e-04 
7.3456500000e-01 2.5395200000e-03 1.2843117583e-04 
7.3828500000e-01 2.4743700000e-03 1.2784380120e-04 
7.4200400000e-01 2.3887000000e-03 1.2789708732e-04 
7.4572300000e-01 2.4355400000e-03 1.2804063698e-04 
7.4944300000e-01 2.4989900000e-03 1.2791789657e-04 
7.5316200000e-01 2.4246200000e-03 1.2673185596e-04 
7.5688100000e-01 2.5957500000e-03 1.2704237843e-04 
7.6060100000e-01 2.4994300000e-03 1.2624253559e-04 
7.6432000000e-01 2.4112400000e-03 1.2568300797e-04 
7.6803900000e-01 2.5083500000e-03 1.2580989629e-04 
7.7175900000e-01 2.5972300000e-03 1.2635320998e-04 
7.7547800000e-01 2.6569500000e-03 1.2605412866e-04 
7.7919700000e-01 2.6552200000e-03 1.2617659101e-04 
7.8291600000e-01 2.6333900000e-03 1.2571595835e-04 
7.8663600000e-01 2.5808800000e-03 1.2484834938e-04 
7.9035500000e-01 2.6844200000e-03 1.2512412589e-04 
7.9407400000e-01 2.6918700000e-03 1.2498906902e-04 
7.9779400000e-01 2.7352300000e-03 1.2464164771e-04 
8.0151300000e-01 2.5814100000e-03 1.2351010516e-04 
8.0523200000e-01 2.4708500000e-03 1.2269836258e-04 
8.0895200000e-01 2.5405700000e-03 1.2259167648e-04 
8.1267100000e-01 2.6718200000e-03 1.2287541830e-04 
8.1639000000e-01 2.7238000000e-03 1.2291003094e-04 
8.2011000000e-01 2.4926600000e-03 1.2148384248e-04 
8.2382900000e-01 2.2544500000e-03 1.1990747736e-04 
8.2754800000e-01 2.3930500000e-03 1.2022622783e-04 
8.3126800000e-01 2.7037800000e-03 1.2171275376e-04 
8.3498700000e-01 2.6574100000e-03 1.2124892126e-04 
8.3870600000e-01 2.5691900000e-03 1.2048746327e-04 
8.4242600000e-01 2.6185000000e-03 1.2070977782e-04 
8.4614500000e-01 2.6591200000e-03 1.2064091128e-04 
8.4986400000e-01 2.7794400000e-03 1.2086933644e-04 
8.5358400000e-01 2.7449400000e-03 1.2104542612e-04 
8.5730300000e-01 2.7622500000e-03 1.2165940450e-04 
8.6102200000e-01 2.8037400000e-03 1.2083355943e-04 
8.6474200000e-01 2.8122900000e-03 1.2032440092e-04 
8.6846100000e-01 2.8607100000e-03 1.1994852192e-04 
8.7218000000e-01 2.6000600000e-03 1.1833194600e-04 
8.7589900000e-01 2.5665500000e-03 1.1802477072e-04 
8.7961900000e-01 2.6707300000e-03 1.1844043897e-04 
8.8333800000e-01 2.7137300000e-03 1.1840271559e-04 
8.8705700000e-01 2.6591000000e-03 1.1799553887e-04 
8.9077700000e-01 2.6793800000e-03 1.1782237718e-04 
8.9449600000e-01 2.8046900000e-03 1.1809254429e-04 
8.9821500000e-01 2.9735600000e-03 1.1853443766e-04 
9.0193500000e-01 2.8735300000e-03 1.1816572153e-04 
9.0565400000e-01 2.9520800000e-03 1.1833858391e-04 
9.0937300000e-01 3.0055400000e-03 1.1820260613e-04 
9.1309300000e-01 2.9310000000e-03 1.1738939928e-04 
9.1681200000e-01 2.8158400000e-03 1.1640937413e-04 
9.2053100000e-01 2.8053900000e-03 1.1636913061e-04 
9.2425100000e-01 2.8391800000e-03 1.1599281320e-04 
9.2797000000e-01 2.8778500000e-03 1.1604168699e-04 
9.3168900000e-01 2.8753600000e-03 1.1595778057e-04 
9.3540900000e-01 3.0144300000e-03 1.1673571154e-04 
9.3912800000e-01 2.9013300000e-03 1.1608215006e-04 
9.4284700000e-01 2.9587000000e-03 1.1546055091e-04 
9.4656700000e-01 2.9778800000e-03 1.1525744619e-04 
9.5028600000e-01 2.8401000000e-03 1.1433895063e-04 
9.5400500000e-01 2.8747000000e-03 1.1426027341e-04 
9.5772400000e-01 2.9476800000e-03 1.1438877712e-04 
9.6144400000e-01 2.9402400000e-03 1.1415329647e-04 
9.6516300000e-01 2.9333300000e-03 1.1379273275e-04 
9.6888200000e-01 2.8740300000e-03 1.1336659612e-04 
9.7260200000e-01 2.9831400000e-03 1.1360642548e-04 
