q[nm-1] (time=2017-08-25T18:55:43.953921+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:44.837510+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:46.160563+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:47.041561+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:48.372136+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:49.356821+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:50.569218+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:51.561031+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:52.773996+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:53.675349+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
4.0726500000e-01 1.1704400000e-03 6.5534158185e-05 
4.1098500000e-01 1.0563550000e-03 6.5125701536e-05 
4.1470400000e-01 1.1441770000e-03 6.4924924251e-05 
4.1842300000e-01 1.2144370000e-03 6.4662536473e-05 
4.2214300000e-01 1.2590700000e-03 6.4562196767e-05 
4.2586200000e-01 1.3063400000e-03 6.4356419292e-05 
4.2958100000e-01 1.2190140000e-03 6.3667432840e-05 
4.3330100000e-01 1.1953250000e-03 6.3298291513e-05 
4.3702000000e-01 1.1749260000e-03 6.2962674136e-05 
4.4073900000e-01 1.2235930000e-03 6.2893286826e-05 
4.4445900000e-01 1.3376000000e-03 6.2990697372e-05 
4.4817800000e-01 1.2664880000e-03 6.2618871604e-05 
4.5189700000e-01 1.2137250000e-03 6.2247973319e-05 
4.5561700000e-01 1.3052760000e-03 6.1903830984e-05 
4.5933600000e-01 1.3234330000e-03 6.1615596768e-05 
4.6305500000e-01 1.2898410000e-03 6.1439128293e-05 
4.6677400000e-01 1.3071970000e-03 6.1104678135e-05 
4.7049400000e-01 1.2391220000e-03 6.0735900532e-05 
4.7421300000e-01 1.2929700000e-03 6.0553461115e-05 
4.7793200000e-01 1.2935170000e-03 6.0361390432e-05 
4.8165200000e-01 1.3052980000e-03 6.0078191511e-05 
4.8537100000e-01 1.3114610000e-03 5.9898812383e-05 
4.8909000000e-01 1.3263230000e-03 6.0475629832e-05 
4.9281000000e-01 1.3904420000e-03 6.0235286178e-05 
4.9652900000e-01 1.2654580000e-03 5.9613203022e-05 
5.0024800000e-01 1.2858200000e-03 5.9278142402e-05 
5.0396800000e-01 1.3647600000e-03 5.9098715874e-05 
5.0768700000e-01 1.3456340000e-03 5.8894120258e-05 
5.1140600000e-01 1.4414510000e-03 5.8664844450e-05 
5.1512600000e-01 1.4210970000e-03 5.8504509182e-05 
5.1884500000e-01 1.3370240000e-03 5.8224509460e-05 
5.2256400000e-01 1.4390770000e-03 5.8150241989e-05 
5.2628400000e-01 1.5016070000e-03 5.7936040207e-05 
5.3000300000e-01 1.4852640000e-03 5.7572898656e-05 
5.3372200000e-01 1.5152250000e-03 5.7290605541e-05 
5.3744100000e-01 1.4737280000e-03 5.7325890453e-05 
5.4116100000e-01 1.4995020000e-03 5.7216759178e-05 
5.4488000000e-01 1.5965480000e-03 5.7006713131e-05 
5.4859900000e-01 1.5710670000e-03 5.6831961343e-05 
5.5231900000e-01 1.5181890000e-03 5.6708448548e-05 
5.5603800000e-01 1.4940130000e-03 5.6357060468e-05 
5.5975700000e-01 1.5138770000e-03 5.6155454318e-05 
5.6347700000e-01 1.5661180000e-03 5.5924321813e-05 
