q[nm-1] (time=2017-08-25T18:36:42.335011+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:43.440293+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:44.542474+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:45.533121+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:46.753507+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:47.744863+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:49.057906+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:50.052011+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:50.932754+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:51.923383+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
9.3912800000e-01 5.9672300000e-03 4.8385678907e-05 
9.4284700000e-01 5.9636700000e-03 4.8036389241e-05 
9.4656700000e-01 5.9282300000e-03 4.7931103935e-05 
9.5028600000e-01 5.9690100000e-03 4.7821364365e-05 
9.5400500000e-01 5.9540400000e-03 4.7680352643e-05 
9.5772400000e-01 5.8787000000e-03 4.7549327724e-05 
9.6144400000e-01 5.8916100000e-03 4.7503686751e-05 
9.6516300000e-01 6.0079100000e-03 4.7507073657e-05 
9.6888200000e-01 6.0627200000e-03 4.7458829772e-05 
9.7260200000e-01 6.0178900000e-03 4.7354456680e-05 
9.7632100000e-01 5.9804400000e-03 4.7193717091e-05 
9.8004000000e-01 5.9564900000e-03 4.7038966647e-05 
9.8376000000e-01 5.9945600000e-03 4.7053673091e-05 
9.8747900000e-01 6.0362600000e-03 4.6981431132e-05 
9.9119800000e-01 6.0467500000e-03 4.6911445328e-05 
9.9491800000e-01 6.0447100000e-03 4.6715232801e-05 
9.9863700000e-01 6.0144000000e-03 4.6615312220e-05 
1.0023600000e+00 6.0050700000e-03 4.6529270556e-05 
1.0060800000e+00 6.0171500000e-03 4.6454028138e-05 
1.0097900000e+00 6.0398400000e-03 4.6446609596e-05 
1.0135100000e+00 6.0366400000e-03 4.6320026589e-05 
1.0172300000e+00 6.0164600000e-03 4.6179618092e-05 
1.0209500000e+00 6.0235700000e-03 4.6105425903e-05 
1.0246700000e+00 6.0047100000e-03 4.6012956087e-05 
1.0283900000e+00 6.0204100000e-03 4.5926646770e-05 
1.0321100000e+00 6.0172800000e-03 4.5841988831e-05 
1.0358300000e+00 6.1279500000e-03 4.5855372352e-05 
1.0395500000e+00 6.1726000000e-03 4.5967942180e-05 
1.0432700000e+00 6.1643700000e-03 4.5960910407e-05 
