q[nm-1] (time=2017-08-27T11:27:39.330466+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:40.545153+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.318206+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.978510+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:42.864010+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:43.631777+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:44.403655+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.176872+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.950328+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:47.272715+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7)/10 
1.0646900000e+00 4.2201720000e-03 1.1797964950e-05 
1.0739900000e+00 4.2281370000e-03 1.1762772727e-05 
1.0832900000e+00 4.2138190000e-03 1.1692299313e-05 
1.0925800000e+00 4.2414530000e-03 1.1678510240e-05 
1.1018800000e+00 4.2486790000e-03 1.1636987697e-05 
1.1111800000e+00 4.2175950000e-03 1.1547910933e-05 
1.1204800000e+00 4.2121280000e-03 1.1491651760e-05 
1.1297800000e+00 4.2106930000e-03 1.1441985307e-05 
1.1390800000e+00 4.2131430000e-03 1.1383330346e-05 
1.1483800000e+00 4.2250870000e-03 1.1351380053e-05 
1.1576800000e+00 4.2154590000e-03 1.1292684614e-05 
1.1669700000e+00 4.2327630000e-03 1.1267903980e-05 
1.1762700000e+00 4.2303710000e-03 1.1219799114e-05 
1.1855700000e+00 4.2122260000e-03 1.1153615707e-05 
1.1948700000e+00 4.2099420000e-03 1.1106855542e-05 
1.2041700000e+00 4.2263500000e-03 1.1083632220e-05 
1.2134700000e+00 4.2211490000e-03 1.1033951273e-05 
1.2227700000e+00 4.2261940000e-03 1.0996569776e-05 
1.2320600000e+00 4.2414020000e-03 1.0972409472e-05 
1.2413600000e+00 4.2270060000e-03 1.0913844111e-05 
1.2506600000e+00 4.2365820000e-03 1.0884326864e-05 
1.2599600000e+00 4.2303840000e-03 1.0837048971e-05 
1.2692600000e+00 4.2220100000e-03 1.0788159580e-05 
1.2785600000e+00 4.2138270000e-03 1.0734181801e-05 
1.2878600000e+00 4.2227480000e-03 1.0704335526e-05 
1.2971500000e+00 4.2420940000e-03 1.0688102506e-05 
1.3064500000e+00 4.2342970000e-03 1.0640625353e-05 
1.3157500000e+00 4.2262630000e-03 1.0593416263e-05 
1.3250500000e+00 4.2219240000e-03 1.0550796132e-05 
1.3343500000e+00 4.2089810000e-03 1.0499177801e-05 
1.3436500000e+00 4.2208140000e-03 1.0476725868e-05 
1.3529500000e+00 4.2062730000e-03 1.0423680230e-05 
1.3622400000e+00 4.2027700000e-03 1.0383381978e-05 
1.3715400000e+00 4.2162230000e-03 1.0363417544e-05 
1.3808400000e+00 4.2162890000e-03 1.0328692151e-05 
1.3901400000e+00 4.2070960000e-03 1.0304106695e-05 
