q[nm-1] (time=2017-08-27T11:40:00.871726+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:54:52.854367+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:55:52.482363+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:08:43.452803+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:17:35.706876+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:22:49.829196+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T12:50:23.501924+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T13:47:59.052968+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T13:56:52.607445+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:04:55.337465+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:14:11.471711+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:17:36.136098+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:36:17.772962+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:37:02.188043+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:42:13.212079+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T14:52:27.314072+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T15:11:56.542253+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T15:21:00.535366+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T15:21:59.057718+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T16:48:48.998839+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T16:51:33.765057+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T16:56:32.116173+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T17:08:33.136855+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T17:14:06.321496+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7)/24 
1.1390800000e+00 4.1961129167e-03 1.2810486786e-05 
1.1483800000e+00 4.2001112500e-03 1.2774427714e-05 
1.1576800000e+00 4.1921070833e-03 1.2675760746e-05 
1.1669700000e+00 4.1903312500e-03 1.2664358616e-05 
1.1762700000e+00 4.1915350000e-03 1.2597345093e-05 
1.1855700000e+00 4.1901137500e-03 1.2553116651e-05 
1.1948700000e+00 4.1827075000e-03 1.2480726437e-05 
1.2041700000e+00 4.1736454167e-03 1.2401047054e-05 
1.2134700000e+00 4.1775716667e-03 1.2344562240e-05 
1.2227700000e+00 4.1808241667e-03 1.2330649461e-05 
1.2320600000e+00 4.1697187500e-03 1.2281402629e-05 
1.2413600000e+00 4.1663350000e-03 1.2200078135e-05 
1.2506600000e+00 4.1793300000e-03 1.2183332479e-05 
1.2599600000e+00 4.2019254167e-03 1.2226495023e-05 
1.2692600000e+00 4.2022433333e-03 1.2192127864e-05 
1.2785600000e+00 4.1981837500e-03 1.2123404220e-05 
1.2878600000e+00 4.1922929167e-03 1.2046964158e-05 
1.2971500000e+00 4.1872795833e-03 1.2004997793e-05 
1.3064500000e+00 4.1974575000e-03 1.2015942207e-05 
1.3157500000e+00 4.1935179167e-03 1.1947482039e-05 
1.3250500000e+00 4.2010058333e-03 1.1928361093e-05 
1.3343500000e+00 4.1951912500e-03 1.1857950065e-05 
1.3436500000e+00 4.1969795833e-03 1.1840572196e-05 
1.3529500000e+00 4.1943608333e-03 1.1824430867e-05 
1.3622400000e+00 4.1765883333e-03 1.1725155198e-05 
1.3715400000e+00 4.1841512500e-03 1.1656104672e-05 
1.3808400000e+00 4.1770087500e-03 1.1608294758e-05 
1.3901400000e+00 4.1702958333e-03 1.1590982114e-05 
1.3994400000e+00 4.1685475000e-03 1.1570551376e-05 
1.4087400000e+00 4.1694400000e-03 1.1494935781e-05 
1.4180400000e+00 4.1873458333e-03 1.1465876616e-05 
1.4273300000e+00 4.1850412500e-03 1.1454831017e-05 
1.4366300000e+00 4.1895679167e-03 1.1448245390e-05 
1.4459300000e+00 4.1814741667e-03 1.1394067174e-05 
1.4552300000e+00 4.1686712500e-03 1.1315736029e-05 
1.4645300000e+00 4.1714608333e-03 1.1303127355e-05 
1.4738300000e+00 4.1701412500e-03 1.1266124619e-05 
1.4831300000e+00 4.1585591667e-03 1.1205748768e-05 
1.4924200000e+00 4.1690325000e-03 1.1192522801e-05 
1.5017200000e+00 4.1758220833e-03 1.1169465601e-05 
1.5110200000e+00 4.1705020833e-03 1.1148657932e-05 
1.5203200000e+00 4.1642545833e-03 1.1079212321e-05 
1.5296200000e+00 4.1744554167e-03 1.1058548149e-05 
1.5389200000e+00 4.1793041667e-03 1.1043024368e-05 
1.5482200000e+00 4.1663295833e-03 1.0996465182e-05 
1.5575100000e+00 4.1718095833e-03 1.0969752573e-05 
1.5668100000e+00 4.1576758333e-03 1.0889315714e-05 
1.5761100000e+00 4.1597066667e-03 1.0896491149e-05 
1.5854100000e+00 4.1722020833e-03 1.0859794812e-05 
1.5947100000e+00 4.1629616667e-03 1.0791707117e-05 
1.6040100000e+00 4.1563879167e-03 1.0767168138e-05 
1.6133100000e+00 4.1573333333e-03 1.0746459096e-05 
1.6226000000e+00 4.1706025000e-03 1.0722085444e-05 
1.6319000000e+00 4.1674262500e-03 1.0663350523e-05 
1.6412000000e+00 4.1699362500e-03 1.0775060852e-05 
1.6505000000e+00 4.1764758333e-03 1.1059355381e-05 
1.6598000000e+00 4.1710145833e-03 1.0905826392e-05 
1.6691000000e+00 4.1816854167e-03 1.1069532246e-05 
1.6784000000e+00 4.1743758333e-03 1.1214103388e-05 
1.6876900000e+00 4.1459645833e-03 1.1323846969e-05 
