Aditivo;Conc. Adit;Conc NaSal;Maxwell;err;OldroydB;err;Jeffreys1;err;Jeffreys2;err;Dois Modos1;err;Dois Modos2;err
Glicerina;60;100;0.1963974754937288;0.004423782328894826;0.21274835866667965;0.002289388406725814;0.21274836787390328;0.002289389605416282;0.003448112424082605;0.0002282697884074209;0.22479348496002616;0.0009388823469407645;0.01955288310492098;0.0008819153702991697
Glicerina;60;260;0.044366958396262264;0.0004286128340698588;0.04641520426096357;0.0006310984718642975;0.04641519559465035;0.0006310975381392473;0.000871925339398727;0.0002099336867945309;0.035078819773425314;0.006705144926384511;0.06436363026925207;0.018581813543010847
Sacarose;50;60;24.54949747241348;1.2816038224379551;24.64763242841381;0.9624198062010918;24.647742520869308;0.9624390977306188;0.004995641073812118;0.0006774693873190345;32.93650983474955;2.3871260382677324;3.109926017900663;0.8566863905160406
Sacarose;50;100;0.23994703482291516;0.005361636034307468;0.25487435550174786;0.002005138544169684;0.2548743726264746;0.002005141351793143;0.0026817577400575217;0.00013071566456335026;0.2621618168644777;0.0007349578807752227;0.010936956400003472;0.0005126903367316864
Sacarose;50;260;2.5980336778129924;0.11465326231447748;2.6499852917250943;0.05751542753034514;2.6499897548013767;0.0575168681591585;0.004661014620434445;0.00037003022887611455;2.7384701592517042;0.024752376617800814;0.0164642783256288;0.0011499567052673165
Ureia;5;60;54.79415069187954;1.0619352167326743;55.19665543873013;1.0544059100069108;55.19661854360257;1.0543975939689816;0.043576517343904435;0.023536251822157274;25.771876216755015;1.5938095662474177;75.15514661466815;2.223942043683457
Ureia;5;100;0.7531292238259051;0.006466948498569757;0.7589059180461529;0.005756274627498232;0.7589059154263741;0.005756274091250753;0.0008008201233484781;0.00016537256547462822;0.7804042910510447;0.00474055356925526;0.05389086241555585;0.008242995112852211
Ureia;5;260;2.530331732109953;0.023698365628333745;2.5433954042952496;0.018677139863859164;2.5433967773432187;0.018677397770890017;0.0014550603434313472;0.00026642346454803183;2.643602904901827;0.021788619918522985;0.3087498700670963;0.057467911234979636
Ureia;15;60;14.163493046050947;0.5502265495305674;14.238297558978136;0.5103476183284775;14.238265973725333;0.5103339227418889;0.0029028151480487985;0.0009630428783384143;16.01482481094455;0.5489957839524808;0.8715998748826292;0.2099205879696668
Ureia;15;100;4.368510875629517;0.036872216057030886;4.382644119598671;0.02797523323170049;4.382644376718266;0.02797529452182895;0.0013345794809034304;0.0002269447234511028;4.464948001085219;0.02278808565527773;0.18634446376818392;0.03239941737751089
Ureia;15;260;1.4686548503865384;0.017375142918816658;1.4805494799933587;0.014050604025173935;1.480549407740032;0.014050591750766143;0.0014276866741125274;0.00026794464600341335;1.5537952846519252;0.013029208031688494;0.1615868285478974;0.023392449738285758
Ureia;30;60;0.09970774693534357;0.011426740934549337;0.14697610835024455;0.01958954643362704;0.14707614514276468;0.01960816740225739;0.0045935015025151404;0.0017228294241179748;0.5496752822657079;0.08764142375287699;0.029983159493431225;0.003678762874827171
Ureia;30;100;6.714102472348392;0.08988123843844198;6.745854716498061;0.07701210689574292;6.7458576841963565;0.07701302327657443;0.0028575835677548955;0.0008776561681159643;7.22539730760732;0.11690780220867282;1.478511006362489;0.3202856198550253
