Q(1/nm) TTAB300_norm_minus_branco1_norm.dat 
2.4741335E+00 1.2905686E+06 
2.4822297E+00 1.2638790E+06 
2.4903259E+00 1.2528091E+06 
2.4984221E+00 1.2747524E+06 
2.5065186E+00 1.2339598E+06 
2.5146148E+00 1.2692900E+06 
2.5227110E+00 1.2595386E+06 
2.5308073E+00 1.2272978E+06 
2.5389035E+00 1.1867712E+06 
2.5469999E+00 1.2185599E+06 
2.5550961E+00 1.1871391E+06 
2.5631924E+00 1.2052052E+06 
2.5712886E+00 1.2013952E+06 
2.5793848E+00 1.2144461E+06 
2.5874813E+00 1.2037782E+06 
2.5955775E+00 1.1744141E+06 
2.6036737E+00 1.1757625E+06 
2.6117699E+00 1.2047124E+06 
2.6198661E+00 1.1607840E+06 
2.6279626E+00 1.1744369E+06 
2.6360588E+00 1.1189381E+06 
2.6441550E+00 1.1458674E+06 
2.6522512E+00 1.1598900E+06 
2.6603475E+00 1.1569302E+06 
2.6684439E+00 1.1832935E+06 
2.6765401E+00 1.1473201E+06 
2.6846364E+00 1.1439411E+06 
2.6927326E+00 1.1212396E+06 
2.7008288E+00 1.1581771E+06 
2.7089252E+00 1.1610048E+06 
2.7170215E+00 1.1052174E+06 
2.7251177E+00 1.1363715E+06 
2.7332139E+00 1.1371738E+06 
2.7413104E+00 1.1428444E+06 
2.7494066E+00 1.1345488E+06 
2.7575028E+00 1.1337078E+06 
2.7655990E+00 1.0854405E+06 
2.7736952E+00 1.1160906E+06 
2.7817917E+00 1.1115822E+06 
2.7898879E+00 1.1197808E+06 
2.7979841E+00 1.1212479E+06 
2.8060803E+00 1.0898721E+06 
2.8141766E+00 1.0646306E+06 
2.8222730E+00 1.0650156E+06 
2.8303692E+00 1.0359554E+06 
2.8384655E+00 1.0640892E+06 
2.8465617E+00 1.0889220E+06 
2.8546579E+00 1.0972402E+06 
2.8627543E+00 1.0921525E+06 
2.8708506E+00 1.0444787E+06 
2.8789468E+00 1.0576056E+06 
2.8870430E+00 1.0793369E+06 
2.8951392E+00 1.0984628E+06 
2.9032357E+00 1.0838135E+06 
2.9113319E+00 1.0675000E+06 
2.9194281E+00 1.1129314E+06 
2.9275243E+00 1.0668330E+06 
2.9356205E+00 1.0784652E+06 
2.9437170E+00 1.1197908E+06 
2.9518132E+00 1.0952348E+06 
2.9599094E+00 1.0923264E+06 
2.9680057E+00 1.1254529E+06 
2.9761019E+00 1.0558690E+06 
2.9841983E+00 1.0719242E+06 
2.9922945E+00 1.1009178E+06 
3.0003908E+00 1.0708370E+06 
3.0084870E+00 1.0652505E+06 
3.0165832E+00 1.0825396E+06 
3.0246797E+00 1.0722409E+06 
3.0327759E+00 1.0695215E+06 
3.0408721E+00 9.9952356E+05 
3.0489683E+00 1.0444648E+06 
3.0570645E+00 1.0696170E+06 
3.0651610E+00 1.0498859E+06 
3.0732572E+00 1.0646349E+06 
3.0813534E+00 1.0687092E+06 
3.0894496E+00 1.0621665E+06 
3.0975459E+00 1.0502899E+06 
3.1056423E+00 1.0663135E+06 
3.1137385E+00 1.0556482E+06 
3.1218348E+00 1.1152722E+06 
3.1299310E+00 1.0459652E+06 
3.1380272E+00 1.0198786E+06 
3.1461236E+00 1.0344748E+06 
3.1542199E+00 1.0524714E+06 
3.1623161E+00 1.0544785E+06 
3.1704123E+00 1.1032789E+06 
3.1785085E+00 1.0929038E+06 
3.1866050E+00 1.0710815E+06 
3.1947012E+00 1.0555301E+06 
3.2027974E+00 1.0337035E+06 
3.2108936E+00 1.0420288E+06 
3.2189898E+00 1.0477142E+06 
3.2270863E+00 1.1251136E+06 
3.2351825E+00 1.0836890E+06 
3.2432787E+00 1.0909071E+06 
3.2513750E+00 1.0787491E+06 
3.2594714E+00 1.1023926E+06 
3.2675676E+00 1.0804754E+06 
3.2756639E+00 1.0885072E+06 
3.2837601E+00 1.1286114E+06 
3.2918563E+00 1.0672949E+06 
3.2999527E+00 1.0410914E+06 
3.3080490E+00 1.0298979E+06 
3.3161452E+00 1.0908080E+06 
3.3242414E+00 1.0510712E+06 
3.3323376E+00 1.0910528E+06 
3.3404341E+00 1.0825579E+06 
3.3485303E+00 1.0575952E+06 
3.3566265E+00 1.0622418E+06 
3.3647227E+00 9.9281625E+05 
3.3728189E+00 1.0686170E+06 
3.3809154E+00 1.0859538E+06 
3.3890116E+00 1.0855146E+06 
3.3971078E+00 1.0629356E+06 
3.4052041E+00 1.0846361E+06 
3.4133003E+00 1.0556172E+06 
3.4213967E+00 1.0606949E+06 
3.4294930E+00 1.0284778E+06 
3.4375892E+00 1.0397336E+06 
3.4456854E+00 1.0636279E+06 
3.4537816E+00 1.0132433E+06 
3.4618781E+00 1.0065359E+06 
3.4699743E+00 1.0470562E+06 
3.4780705E+00 1.0581825E+06 
3.4861667E+00 1.0593372E+06 
3.4942629E+00 1.0035118E+06 
3.5023594E+00 1.0078404E+06 
3.5104556E+00 1.0397236E+06 
3.5185518E+00 1.0490112E+06 
3.5266480E+00 1.0708229E+06 
3.5347443E+00 1.0363427E+06 
3.5428407E+00 1.0257199E+06 
3.5509369E+00 1.0233279E+06 
3.5590332E+00 1.0401855E+06 
3.5671294E+00 1.1051740E+06 
3.5752256E+00 1.1078508E+06 
3.5833220E+00 1.0751336E+06 
3.5914183E+00 1.1174109E+06 
3.5995145E+00 1.0686901E+06 
3.6076107E+00 1.0240688E+06 
3.6157069E+00 1.0501814E+06 
3.6238034E+00 1.0361158E+06 
3.6318996E+00 1.0489360E+06 
3.6399958E+00 1.0279152E+06 
3.6480920E+00 1.0488865E+06 
3.6561882E+00 1.0549741E+06 
3.6642847E+00 1.0353144E+06 
3.6723809E+00 1.0530380E+06 
3.6804771E+00 1.0744198E+06 
3.6885734E+00 1.0376768E+06 
3.6966696E+00 9.9360812E+05 
3.7047660E+00 1.0419493E+06 
3.7128623E+00 9.9623269E+05 
3.7209585E+00 1.0269154E+06 
3.7290547E+00 1.0626485E+06 
3.7371509E+00 1.0612769E+06 
3.7452474E+00 1.0393419E+06 
3.7533436E+00 1.0394586E+06 
3.7614398E+00 1.0004044E+06 
3.7695360E+00 1.0545762E+06 
3.7776325E+00 1.0282559E+06 
3.7857287E+00 1.0549958E+06 
3.7938249E+00 1.0921149E+06 
3.8019211E+00 1.0511922E+06 
3.8100173E+00 1.0739071E+06 
3.8181138E+00 1.0718538E+06 
3.8262100E+00 1.0273616E+06 
3.8343062E+00 9.9893788E+05 
3.8424025E+00 9.7042175E+05 
3.8504987E+00 1.0440476E+06 
3.8585951E+00 1.0562455E+06 
3.8666914E+00 1.0340429E+06 
3.8747876E+00 1.0323721E+06 
3.8828838E+00 9.9450256E+05 
3.8909800E+00 1.0358731E+06 
3.8990765E+00 1.0435057E+06 
3.9071727E+00 9.8795681E+05 
3.9152689E+00 9.9881206E+05 
3.9233651E+00 1.0156929E+06 
3.9314613E+00 1.0379248E+06 
3.9395578E+00 1.0246848E+06 
3.9476540E+00 1.0072546E+06 
3.9557502E+00 9.7326556E+05 
3.9638464E+00 1.0300434E+06 
3.9719427E+00 1.0280962E+06 
3.9800391E+00 1.0850896E+06 
3.9881353E+00 1.0214673E+06 
3.9962316E+00 1.0142684E+06 
4.0043278E+00 1.0234524E+06 
4.0124240E+00 9.7840412E+05 
4.0205202E+00 9.3408669E+05 
4.0286169E+00 1.0343269E+06 
4.0367126E+00 1.0309489E+06 
4.0448093E+00 9.9939106E+05 
4.0529051E+00 9.7752169E+05 
4.0610018E+00 9.9198244E+05 
4.0690980E+00 9.9069669E+05 
4.0771942E+00 1.0581859E+06 
4.0852904E+00 1.0396090E+06 
4.0933867E+00 9.8821838E+05 
4.1014833E+00 1.0168690E+06 
4.1095791E+00 9.9502956E+05 
4.1176758E+00 1.0256424E+06 
4.1257715E+00 9.6766056E+05 
4.1338682E+00 9.6406875E+05 
4.1419644E+00 9.9487244E+05 
4.1500607E+00 1.0025422E+06 
4.1581569E+00 1.0149572E+06 
4.1662531E+00 1.0155882E+06 
4.1743493E+00 1.0003880E+06 
4.1824455E+00 1.0111791E+06 
4.1905417E+00 9.9852019E+05 
4.1986384E+00 9.7471431E+05 
4.2067347E+00 1.0246234E+06 
4.2148309E+00 1.0424886E+06 
4.2229271E+00 1.0386506E+06 
4.2310233E+00 1.0028802E+06 
4.2391195E+00 1.0707091E+06 
4.2472157E+00 1.0259492E+06 
4.2553120E+00 9.6587400E+05 
4.2634082E+00 1.0952860E+06 
4.2715044E+00 1.0217912E+06 
4.2796011E+00 1.0172587E+06 
4.2876973E+00 1.0361820E+06 
4.2957935E+00 1.0085089E+06 
4.3038898E+00 1.0532208E+06 
4.3119860E+00 1.0777121E+06 
4.3200822E+00 1.0196867E+06 
4.3281784E+00 1.0594500E+06 
4.3362746E+00 1.0180806E+06 
4.3443708E+00 1.0046371E+06 
4.3524671E+00 1.0055045E+06 
4.3605638E+00 1.0214389E+06 
4.3686600E+00 1.0645699E+06 
4.3767562E+00 1.0868189E+06 
4.3848524E+00 1.0105577E+06 
4.3929486E+00 1.0717940E+06 
4.4010448E+00 1.0655795E+06 
4.4091411E+00 1.0539678E+06 
4.4172373E+00 1.0167618E+06 
4.4253335E+00 9.8286712E+05 
4.4334297E+00 1.0894419E+06 
4.4415264E+00 1.0949971E+06 
4.4496226E+00 1.0847382E+06 
4.4577188E+00 1.0837248E+06 
4.4658151E+00 1.0869681E+06 
4.4739113E+00 1.0649082E+06 
4.4820075E+00 1.0453899E+06 
4.4901037E+00 1.0477502E+06 
4.4981999E+00 1.0573489E+06 
4.5062962E+00 9.7706756E+05 
4.5143924E+00 1.0546291E+06 
4.5224891E+00 1.1415990E+06 
4.5305853E+00 1.1035422E+06 
4.5386815E+00 1.0621586E+06 
4.5467777E+00 1.0947296E+06 
4.5548739E+00 1.0949826E+06 
4.5629702E+00 1.0334402E+06 
4.5710664E+00 1.0335701E+06 
4.5791626E+00 1.1234658E+06 
4.5872588E+00 1.0842515E+06 
4.5953555E+00 1.0783040E+06 
4.6034517E+00 1.1211330E+06 
4.6115479E+00 1.0783960E+06 
4.6196442E+00 1.0929994E+06 
4.6277404E+00 1.0648580E+06 
4.6358366E+00 1.0629620E+06 
4.6439328E+00 1.0409979E+06 
4.6520290E+00 1.0808430E+06 
4.6601253E+00 1.1089039E+06 
4.6682215E+00 1.0859570E+06 
4.6763182E+00 1.0344207E+06 
4.6844144E+00 1.0943092E+06 
4.6925106E+00 1.1179749E+06 
4.7006068E+00 1.0942324E+06 
4.7087030E+00 1.1152352E+06 
4.7167993E+00 1.0817959E+06 
4.7248955E+00 1.0594676E+06 
4.7329917E+00 1.0872725E+06 
4.7410879E+00 1.1216605E+06 
4.7491841E+00 1.1107565E+06 
4.7572808E+00 1.1235942E+06 
4.7653770E+00 1.1145648E+06 
4.7734733E+00 1.0766369E+06 
4.7815695E+00 1.1065868E+06 
4.7896657E+00 1.0942054E+06 
4.7977619E+00 1.0695085E+06 
