Q(1/nm) MG2_norm_minus_branco1_norm.dat 
2.9761019E+00 1.1216550E+06 
2.9841983E+00 1.1175929E+06 
2.9922945E+00 1.1246420E+06 
3.0003908E+00 1.1303020E+06 
3.0084870E+00 1.1351448E+06 
3.0165832E+00 1.1603019E+06 
3.0246797E+00 1.2107152E+06 
3.0327759E+00 1.1970258E+06 
3.0408721E+00 1.1190575E+06 
3.0489683E+00 1.1145611E+06 
3.0570645E+00 1.1811004E+06 
3.0651610E+00 1.1758651E+06 
3.0732572E+00 1.1608186E+06 
3.0813534E+00 1.1242934E+06 
3.0894496E+00 1.1734192E+06 
3.0975459E+00 1.1657372E+06 
3.1056423E+00 1.2082394E+06 
3.1137385E+00 1.1299729E+06 
3.1218348E+00 1.1593374E+06 
3.1299310E+00 1.1891082E+06 
3.1380272E+00 1.1964248E+06 
3.1461236E+00 1.1787681E+06 
3.1542199E+00 1.1230769E+06 
3.1623161E+00 1.1507282E+06 
3.1704123E+00 1.2051888E+06 
3.1785085E+00 1.2225571E+06 
3.1866050E+00 1.1297275E+06 
3.1947012E+00 1.1103478E+06 
3.2027974E+00 1.1294904E+06 
3.2108936E+00 1.1797755E+06 
3.2189898E+00 1.1577871E+06 
3.2270863E+00 1.1651549E+06 
3.2351825E+00 1.1398844E+06 
3.2432787E+00 1.1748352E+06 
3.2513750E+00 1.1498760E+06 
3.2594714E+00 1.1530870E+06 
3.2675676E+00 1.1851594E+06 
3.2756639E+00 1.2279088E+06 
3.2837601E+00 1.1636994E+06 
3.2918563E+00 1.1304661E+06 
3.2999527E+00 1.1283325E+06 
3.3080490E+00 1.1471526E+06 
3.3161452E+00 1.2155969E+06 
3.3242414E+00 1.1954686E+06 
3.3323376E+00 1.1839222E+06 
3.3404341E+00 1.1459124E+06 
3.3485303E+00 1.1510518E+06 
3.3566265E+00 1.1432171E+06 
3.3647227E+00 1.1973228E+06 
3.3728189E+00 1.1213329E+06 
3.3809154E+00 1.1387785E+06 
3.3890116E+00 1.0876161E+06 
3.3971078E+00 1.1016415E+06 
3.4052041E+00 1.1388408E+06 
3.4133003E+00 1.0920348E+06 
3.4213967E+00 1.1138970E+06 
3.4294930E+00 1.1688665E+06 
3.4375892E+00 1.1807721E+06 
3.4456854E+00 1.1173465E+06 
3.4537816E+00 1.1080005E+06 
3.4618781E+00 1.1268452E+06 
3.4699743E+00 1.1327304E+06 
3.4780705E+00 1.1019024E+06 
3.4861667E+00 1.1485056E+06 
3.4942629E+00 1.1569846E+06 
3.5023594E+00 1.1575386E+06 
3.5104556E+00 1.1706136E+06 
3.5185518E+00 1.1126558E+06 
3.5266480E+00 1.1518475E+06 
3.5347443E+00 1.1538614E+06 
3.5428407E+00 1.1426298E+06 
3.5509369E+00 1.1766614E+06 
3.5590332E+00 1.1919595E+06 
3.5671294E+00 1.1970130E+06 
3.5752256E+00 1.1320386E+06 
3.5833220E+00 1.1417714E+06 
3.5914183E+00 1.1653196E+06 
3.5995145E+00 1.1599976E+06 
3.6076107E+00 1.1372410E+06 
3.6157069E+00 1.1472810E+06 
3.6238034E+00 1.1260646E+06 
3.6318996E+00 1.1668059E+06 
3.6399958E+00 1.1707491E+06 
3.6480920E+00 1.1626942E+06 
3.6561882E+00 1.1747482E+06 
3.6642847E+00 1.1742566E+06 
3.6723809E+00 1.1297626E+06 
3.6804771E+00 1.1095398E+06 
3.6885734E+00 1.1631168E+06 
3.6966696E+00 1.1745196E+06 
3.7047660E+00 1.1306338E+06 
3.7128623E+00 1.1528210E+06 
3.7209585E+00 1.1420304E+06 
3.7290547E+00 1.1389009E+06 
3.7371509E+00 1.1350771E+06 
3.7452474E+00 1.1487898E+06 
3.7533436E+00 1.1953875E+06 
3.7614398E+00 1.1711755E+06 
3.7695360E+00 1.1703358E+06 
3.7776325E+00 1.1518109E+06 
3.7857287E+00 1.1255189E+06 
3.7938249E+00 1.1758369E+06 
3.8019211E+00 1.1821864E+06 
3.8100173E+00 1.1748840E+06 
3.8181138E+00 1.1515935E+06 
3.8262100E+00 1.1693102E+06 
3.8343062E+00 1.1286019E+06 
3.8424025E+00 1.1192246E+06 
3.8504987E+00 1.1497848E+06 
3.8585951E+00 1.1603185E+06 
3.8666914E+00 1.1572586E+06 
3.8747876E+00 1.1382458E+06 
3.8828838E+00 1.1344622E+06 
3.8909800E+00 1.1206258E+06 
3.8990765E+00 1.1669805E+06 
3.9071727E+00 1.1553426E+06 
3.9152689E+00 1.1814184E+06 
3.9233651E+00 1.1493351E+06 
3.9314613E+00 1.1097785E+06 
3.9395578E+00 1.1758552E+06 
3.9476540E+00 1.1767221E+06 
3.9557502E+00 1.1263435E+06 
3.9638464E+00 1.1586774E+06 
3.9719427E+00 1.1465678E+06 
3.9800391E+00 1.1083172E+06 
3.9881353E+00 1.1155868E+06 
3.9962316E+00 1.1691561E+06 
4.0043278E+00 1.1704192E+06 
