Q(1/nm) CTAB200_norm_minus_branco1_norm.dat 
1.8912022E+00 1.3502155E+06 
1.8992985E+00 1.3375570E+06 
1.9073948E+00 1.3417954E+06 
1.9154911E+00 1.3228392E+06 
1.9235873E+00 1.3018728E+06 
1.9316835E+00 1.2960441E+06 
1.9397799E+00 1.3059219E+06 
1.9478761E+00 1.3069028E+06 
1.9559724E+00 1.2801515E+06 
1.9640687E+00 1.2834732E+06 
1.9721649E+00 1.3055920E+06 
1.9802612E+00 1.2760340E+06 
1.9883574E+00 1.2787025E+06 
1.9964538E+00 1.2687256E+06 
2.0045500E+00 1.2786524E+06 
2.0126462E+00 1.2472809E+06 
2.0207424E+00 1.2077631E+06 
2.0288386E+00 1.2179744E+06 
2.0369351E+00 1.2145932E+06 
2.0450313E+00 1.2187452E+06 
2.0531275E+00 1.2021541E+06 
2.0612240E+00 1.1874511E+06 
2.0693202E+00 1.2058360E+06 
2.0774164E+00 1.2014981E+06 
2.0855126E+00 1.2072669E+06 
2.0936089E+00 1.1935626E+06 
2.1017051E+00 1.2006094E+06 
2.1098013E+00 1.1780642E+06 
2.1178977E+00 1.1794325E+06 
2.1259940E+00 1.1903932E+06 
2.1340902E+00 1.1583718E+06 
2.1421864E+00 1.1693371E+06 
2.1502829E+00 1.1755850E+06 
2.1583791E+00 1.1428552E+06 
2.1664753E+00 1.1128804E+06 
2.1745715E+00 1.1295031E+06 
2.1826677E+00 1.1544086E+06 
2.1907642E+00 1.1338714E+06 
2.1988604E+00 1.1443021E+06 
2.2069566E+00 1.1307564E+06 
2.2150528E+00 1.1037579E+06 
2.2231493E+00 1.1102816E+06 
2.2312455E+00 1.1044935E+06 
2.2393417E+00 1.0872714E+06 
2.2474380E+00 1.0895966E+06 
2.2555342E+00 1.0944604E+06 
2.2636306E+00 1.1111484E+06 
2.2717268E+00 1.1003685E+06 
2.2798231E+00 1.1102534E+06 
2.2879193E+00 1.0634792E+06 
2.2960155E+00 1.0909078E+06 
2.3041120E+00 1.0670468E+06 
2.3122082E+00 1.0780931E+06 
2.3203044E+00 1.0964586E+06 
2.3284006E+00 1.0796068E+06 
2.3364968E+00 1.0730568E+06 
2.3445933E+00 1.0735058E+06 
2.3526895E+00 1.0511248E+06 
2.3607857E+00 1.0369866E+06 
2.3688819E+00 1.0209378E+06 
2.3769782E+00 1.0364611E+06 
2.3850746E+00 1.0524426E+06 
2.3931708E+00 1.0767482E+06 
2.4012671E+00 1.0706318E+06 
2.4093633E+00 1.0445351E+06 
2.4174595E+00 1.0671802E+06 
2.4255559E+00 1.0416152E+06 
2.4336522E+00 1.0047217E+06 
2.4417484E+00 1.0256366E+06 
2.4498446E+00 9.9656306E+05 
2.4579408E+00 9.9439512E+05 
2.4660373E+00 9.9451294E+05 
2.4741335E+00 1.0242998E+06 
2.4822297E+00 1.0462808E+06 
2.4903259E+00 9.6484206E+05 
2.4984221E+00 1.0147936E+06 
2.5065186E+00 1.0240456E+06 
2.5146148E+00 9.7386712E+05 
2.5227110E+00 9.7906506E+05 
2.5308073E+00 9.9623369E+05 
2.5389035E+00 1.0049162E+06 
2.5469999E+00 1.0072033E+06 
2.5550961E+00 1.0023458E+06 
2.5631924E+00 9.8756612E+05 
2.5712886E+00 9.8868512E+05 
2.5793848E+00 1.0168831E+06 
2.5874813E+00 1.0255435E+06 
2.5955775E+00 9.9154050E+05 
2.6036737E+00 1.0080708E+06 
2.6117699E+00 1.0091431E+06 
2.6198661E+00 1.0385079E+06 
2.6279626E+00 1.0077149E+06 
2.6360588E+00 9.7935194E+05 
2.6441550E+00 1.0038414E+06 
2.6522512E+00 1.0046714E+06 
2.6603475E+00 9.9850844E+05 
2.6684439E+00 1.0007785E+06 
2.6765401E+00 9.6518319E+05 
2.6846364E+00 9.7940794E+05 
2.6927326E+00 1.0297068E+06 
2.7008288E+00 1.0035374E+06 
2.7089252E+00 9.9347362E+05 
2.7170215E+00 9.7078012E+05 
2.7251177E+00 9.9626188E+05 
2.7332139E+00 9.9435538E+05 
2.7413104E+00 1.0010163E+06 
2.7494066E+00 9.7699125E+05 
2.7575028E+00 9.5337775E+05 
2.7655990E+00 9.1848350E+05 
2.7736952E+00 9.7842681E+05 
2.7817917E+00 9.7884000E+05 
2.7898879E+00 9.2388556E+05 
2.7979841E+00 9.2670156E+05 
2.8060803E+00 9.6787169E+05 
2.8141766E+00 1.0051078E+06 
2.8222730E+00 9.8291981E+05 
2.8303692E+00 1.0001719E+06 
2.8384655E+00 9.5549475E+05 
2.8465617E+00 1.0124232E+06 
2.8546579E+00 9.8501700E+05 
2.8627543E+00 9.9765975E+05 
2.8708506E+00 9.5428794E+05 
2.8789468E+00 9.6411450E+05 
2.8870430E+00 1.0047921E+06 
2.8951392E+00 9.9044812E+05 
2.9032357E+00 9.8479412E+05 
2.9113319E+00 9.5014044E+05 
2.9194281E+00 9.8115156E+05 
2.9275243E+00 9.9818825E+05 
2.9356205E+00 9.8481731E+05 
2.9437170E+00 9.7485769E+05 
2.9518132E+00 9.9726475E+05 
2.9599094E+00 9.9918475E+05 
2.9680057E+00 9.6342938E+05 
2.9761019E+00 9.2399369E+05 
2.9841983E+00 9.6819006E+05 
2.9922945E+00 9.4355281E+05 
3.0003908E+00 9.3711325E+05 
3.0084870E+00 9.6807794E+05 
3.0165832E+00 9.8887206E+05 
3.0246797E+00 1.0274646E+06 
3.0327759E+00 9.9851438E+05 
3.0408721E+00 9.9240869E+05 
3.0489683E+00 9.8097100E+05 
3.0570645E+00 1.0144042E+06 
3.0651610E+00 9.8717175E+05 
3.0732572E+00 1.0302178E+06 
3.0813534E+00 1.0123982E+06 
3.0894496E+00 9.9095100E+05 
3.0975459E+00 9.9848606E+05 
3.1056423E+00 9.9004112E+05 
3.1137385E+00 9.7676900E+05 
3.1218348E+00 9.8212994E+05 
3.1299310E+00 9.3706525E+05 
3.1380272E+00 9.6964569E+05 
3.1461236E+00 1.0264061E+06 
3.1542199E+00 9.6114606E+05 
3.1623161E+00 9.1530675E+05 
3.1704123E+00 9.6103112E+05 
3.1785085E+00 9.7512781E+05 
