Q(1/nm) CTAB100Ur38_norm_minus_branco1_norm.dat 
3.3890116E+00 8.3455475E+05 
3.3971078E+00 8.6125688E+05 
3.4052041E+00 9.2514844E+05 
3.4133003E+00 9.0255469E+05 
3.4213967E+00 8.7995262E+05 
3.4294930E+00 8.7870975E+05 
3.4375892E+00 9.0199019E+05 
3.4456854E+00 9.3214406E+05 
3.4537816E+00 8.6053000E+05 
3.4618781E+00 8.5277256E+05 
3.4699743E+00 9.1113200E+05 
3.4780705E+00 9.2351931E+05 
3.4861667E+00 9.0258825E+05 
3.4942629E+00 8.6153238E+05 
3.5023594E+00 8.8432388E+05 
3.5104556E+00 9.2138350E+05 
3.5185518E+00 9.1276031E+05 
3.5266480E+00 8.6909669E+05 
3.5347443E+00 8.5641162E+05 
3.5428407E+00 8.9865112E+05 
3.5509369E+00 8.6771400E+05 
3.5590332E+00 8.5995919E+05 
3.5671294E+00 8.9160906E+05 
3.5752256E+00 9.2562912E+05 
3.5833220E+00 9.4365088E+05 
3.5914183E+00 9.2447981E+05 
3.5995145E+00 8.9880506E+05 
3.6076107E+00 8.9453750E+05 
3.6157069E+00 8.7757712E+05 
3.6238034E+00 9.0944169E+05 
3.6318996E+00 9.1216469E+05 
3.6399958E+00 8.7474862E+05 
3.6480920E+00 8.7931138E+05 
3.6561882E+00 9.1848994E+05 
3.6642847E+00 8.9687506E+05 
3.6723809E+00 8.6961369E+05 
3.6804771E+00 8.8067425E+05 
3.6885734E+00 9.0604419E+05 
3.6966696E+00 9.1765262E+05 
3.7047660E+00 9.4326362E+05 
3.7128623E+00 8.6652950E+05 
3.7209585E+00 8.4981225E+05 
3.7290547E+00 8.7501306E+05 
3.7371509E+00 8.8949069E+05 
3.7452474E+00 9.0018506E+05 
3.7533436E+00 9.2487062E+05 
3.7614398E+00 8.6401719E+05 
3.7695360E+00 8.8411981E+05 
3.7776325E+00 8.3383450E+05 
3.7857287E+00 8.7803206E+05 
3.7938249E+00 8.8836881E+05 
3.8019211E+00 8.6322950E+05 
3.8100173E+00 8.8574981E+05 
3.8181138E+00 8.9365738E+05 
3.8262100E+00 8.3781844E+05 
3.8343062E+00 8.6560175E+05 
3.8424025E+00 8.8181119E+05 
3.8504987E+00 9.0043569E+05 
3.8585951E+00 8.8781281E+05 
3.8666914E+00 8.5305994E+05 
3.8747876E+00 9.1718356E+05 
3.8828838E+00 8.8798225E+05 
3.8909800E+00 8.9936644E+05 
3.8990765E+00 8.7142531E+05 
3.9071727E+00 8.5155638E+05 
3.9152689E+00 8.3685325E+05 
3.9233651E+00 8.9095788E+05 
3.9314613E+00 8.5119994E+05 
3.9395578E+00 8.4871069E+05 
3.9476540E+00 8.6768075E+05 
3.9557502E+00 8.5087912E+05 
3.9638464E+00 8.5882338E+05 
3.9719427E+00 8.7235288E+05 
3.9800391E+00 8.5559825E+05 
3.9881353E+00 8.2854556E+05 
3.9962316E+00 8.6454600E+05 
4.0043278E+00 8.4967025E+05 
4.0124240E+00 8.4609625E+05 
4.0205202E+00 8.5597975E+05 
4.0286169E+00 8.5761656E+05 
4.0367126E+00 8.4755225E+05 
4.0448093E+00 8.3133769E+05 
4.0529051E+00 8.3268575E+05 
4.0610018E+00 8.2398981E+05 
4.0690980E+00 8.5419706E+05 
4.0771942E+00 8.4705831E+05 
4.0852904E+00 8.6395438E+05 
4.0933867E+00 8.5633125E+05 
4.1014833E+00 8.3119581E+05 
4.1095791E+00 9.0617469E+05 
4.1176758E+00 8.7907950E+05 
4.1257715E+00 8.4788719E+05 
4.1338682E+00 8.7331656E+05 
