Q(1/nm) DTAB200a_norm_minus_branco1_norm.dat 
2.4579408E+00 1.0492170E+06 
2.4660373E+00 1.0532799E+06 
2.4741335E+00 1.0524976E+06 
2.4822297E+00 1.0347241E+06 
2.4903259E+00 1.0778461E+06 
2.4984221E+00 1.0920254E+06 
2.5065186E+00 1.0882089E+06 
2.5146148E+00 1.0407922E+06 
2.5227110E+00 1.0614314E+06 
2.5308073E+00 1.0324961E+06 
2.5389035E+00 1.0258582E+06 
2.5469999E+00 1.0228552E+06 
2.5550961E+00 1.0466914E+06 
2.5631924E+00 1.0173994E+06 
2.5712886E+00 1.0646825E+06 
2.5793848E+00 1.0063578E+06 
2.5874813E+00 1.0363981E+06 
2.5955775E+00 1.0537394E+06 
2.6036737E+00 1.0377495E+06 
2.6117699E+00 1.0664220E+06 
2.6198661E+00 1.0296524E+06 
2.6279626E+00 1.0242291E+06 
2.6360588E+00 1.0271482E+06 
2.6441550E+00 1.0311265E+06 
2.6522512E+00 1.0003693E+06 
2.6603475E+00 1.0179627E+06 
2.6684439E+00 1.0239730E+06 
2.6765401E+00 9.8384931E+05 
2.6846364E+00 1.0201229E+06 
2.6927326E+00 1.0538318E+06 
2.7008288E+00 1.0461643E+06 
2.7089252E+00 1.0329791E+06 
2.7170215E+00 1.0036029E+06 
2.7251177E+00 1.0543118E+06 
2.7332139E+00 1.0618780E+06 
2.7413104E+00 1.0391789E+06 
2.7494066E+00 1.0472441E+06 
2.7575028E+00 1.0243902E+06 
2.7655990E+00 1.0008406E+06 
2.7736952E+00 1.0298114E+06 
2.7817917E+00 1.0624769E+06 
2.7898879E+00 1.0252481E+06 
2.7979841E+00 1.0221692E+06 
2.8060803E+00 1.0075592E+06 
2.8141766E+00 1.0012396E+06 
2.8222730E+00 1.0657301E+06 
2.8303692E+00 1.0179563E+06 
2.8384655E+00 1.0511328E+06 
2.8465617E+00 1.0326211E+06 
2.8546579E+00 1.0541021E+06 
2.8627543E+00 1.0189155E+06 
2.8708506E+00 1.0221829E+06 
2.8789468E+00 9.9441831E+05 
2.8870430E+00 1.0012146E+06 
2.8951392E+00 9.9397762E+05 
2.9032357E+00 1.0178012E+06 
2.9113319E+00 1.0337068E+06 
2.9194281E+00 1.0092771E+06 
2.9275243E+00 1.0236707E+06 
2.9356205E+00 1.0043515E+06 
2.9437170E+00 9.8287006E+05 
2.9518132E+00 1.0286871E+06 
2.9599094E+00 1.0043131E+06 
2.9680057E+00 9.9121656E+05 
2.9761019E+00 9.6516950E+05 
2.9841983E+00 9.8693144E+05 
2.9922945E+00 1.0036563E+06 
3.0003908E+00 9.9380244E+05 
3.0084870E+00 1.0406196E+06 
3.0165832E+00 1.0101608E+06 
3.0246797E+00 1.0046832E+06 
