Q(1/nm) TTAB30045P_50_norm_minus_branco1_norm.dat 
2.2069566E+00 6.0618831E+05 
2.2150528E+00 5.8120200E+05 
2.2231493E+00 5.6578575E+05 
2.2312455E+00 5.4377650E+05 
2.2393417E+00 5.2697419E+05 
2.2474380E+00 5.3562450E+05 
2.2555342E+00 5.0542144E+05 
2.2636306E+00 4.9916916E+05 
2.2717268E+00 4.7578634E+05 
2.2798231E+00 4.5946506E+05 
2.2879193E+00 4.4400084E+05 
2.2960155E+00 4.0599853E+05 
2.3041120E+00 3.8567759E+05 
2.3122082E+00 3.9625481E+05 
2.3203044E+00 4.0722169E+05 
2.3284006E+00 3.8422428E+05 
2.3364968E+00 3.7656228E+05 
2.3445933E+00 3.6993531E+05 
2.3526895E+00 3.5718516E+05 
2.3607857E+00 3.2878547E+05 
2.3688819E+00 3.2684222E+05 
2.3769782E+00 3.2371491E+05 
2.3850746E+00 2.8519503E+05 
2.3931708E+00 2.7876928E+05 
2.4012671E+00 2.6708000E+05 
2.4093633E+00 2.6792741E+05 
2.4174595E+00 2.4604720E+05 
2.4255559E+00 2.4108273E+05 
2.4336522E+00 2.2671830E+05 
2.4417484E+00 2.0488162E+05 
2.4498446E+00 1.8665769E+05 
2.4579408E+00 1.8523339E+05 
2.4660373E+00 1.7373119E+05 
2.4741335E+00 1.7899711E+05 
2.4822297E+00 1.7016820E+05 
2.4903259E+00 1.5044745E+05 
2.4984221E+00 1.4449289E+05 
2.5065186E+00 1.3248333E+05 
2.5146148E+00 1.0870658E+05 
2.5227110E+00 9.3328680E+04 
2.5308073E+00 1.1343015E+05 
2.5389035E+00 1.2346905E+05 
2.5469999E+00 7.1758633E+04 
2.5550961E+00 5.7733336E+04 
2.5631924E+00 7.5419602E+04 
2.5712886E+00 6.6903102E+04 
2.5793848E+00 5.2991211E+04 
2.5874813E+00 3.1811949E+04 
2.5955775E+00 3.5085395E+04 
2.6036737E+00 2.2361238E+04 
2.6117699E+00 8.2781045E+03 
2.6198661E+00 9.4281992E+03 
2.6279626E+00 -1.1385007E+03 
2.6360588E+00 -9.4860303E+03 
2.6441550E+00 -1.0672461E+04 
2.6522512E+00 -1.7813295E+04 
2.6603475E+00 -3.3099648E+04 
2.6684439E+00 -4.8267473E+04 
2.6765401E+00 -4.6441965E+04 
2.6846364E+00 -6.6707133E+04 
2.6927326E+00 -5.0151008E+04 
2.7008288E+00 -5.3609180E+04 
2.7089252E+00 -5.8743539E+04 
2.7170215E+00 -9.3072164E+04 
2.7251177E+00 -1.0211694E+05 
2.7332139E+00 -1.0274309E+05 
2.7413104E+00 -1.1589305E+05 
2.7494066E+00 -1.1204799E+05 
2.7575028E+00 -1.0796169E+05 
2.7655990E+00 -1.3799947E+05 
2.7736952E+00 -1.3984744E+05 
2.7817917E+00 -1.3230988E+05 
2.7898879E+00 -1.4069266E+05 
2.7979841E+00 -1.3950639E+05 
2.8060803E+00 -1.7162623E+05 
2.8141766E+00 -1.6738686E+05 
2.8222730E+00 -1.7327200E+05 
2.8303692E+00 -1.7888777E+05 
2.8384655E+00 -1.7816066E+05 
2.8465617E+00 -1.8491561E+05 
2.8546579E+00 -2.0024623E+05 
2.8627543E+00 -2.1701556E+05 
2.8708506E+00 -2.2392362E+05 
2.8789468E+00 -2.0951259E+05 
2.8870430E+00 -2.0819722E+05 
2.8951392E+00 -2.1518303E+05 
2.9032357E+00 -2.1605136E+05 
2.9113319E+00 -2.4074681E+05 
2.9194281E+00 -2.2056678E+05 
2.9275243E+00 -2.2614888E+05 
2.9356205E+00 -2.2862409E+05 
2.9437170E+00 -2.2241256E+05 
2.9518132E+00 -2.3340527E+05 
2.9599094E+00 -2.3405528E+05 
2.9680057E+00 -2.5464208E+05 
2.9761019E+00 -2.7179950E+05 
2.9841983E+00 -2.6896450E+05 
2.9922945E+00 -2.6737153E+05 
3.0003908E+00 -2.9380116E+05 
3.0084870E+00 -2.8463131E+05 
3.0165832E+00 -2.7211847E+05 
3.0246797E+00 -2.5991772E+05 
3.0327759E+00 -2.8769922E+05 
3.0408721E+00 -2.8215953E+05 
3.0489683E+00 -2.9102041E+05 
3.0570645E+00 -2.8822756E+05 
3.0651610E+00 -3.1039534E+05 
3.0732572E+00 -3.0845028E+05 
3.0813534E+00 -3.3343716E+05 
3.0894496E+00 -3.3181966E+05 
3.0975459E+00 -3.2834984E+05 
3.1056423E+00 -3.2212044E+05 
3.1137385E+00 -3.2049819E+05 
3.1218348E+00 -3.1564953E+05 
3.1299310E+00 -3.2499984E+05 
3.1380272E+00 -3.4274244E+05 
3.1461236E+00 -3.8154659E+05 
3.1542199E+00 -3.8456112E+05 
3.1623161E+00 -3.6319578E+05 
3.1704123E+00 -3.3798550E+05 
3.1785085E+00 -3.4831544E+05 
3.1866050E+00 -3.8422153E+05 
3.1947012E+00 -3.9347578E+05 
3.2027974E+00 -4.0400431E+05 
3.2108936E+00 -3.9195769E+05 
3.2189898E+00 -3.8902738E+05 
3.2270863E+00 -4.1149491E+05 
3.2351825E+00 -4.0645212E+05 
3.2432787E+00 -4.2615503E+05 
3.2513750E+00 -3.7708962E+05 
3.2594714E+00 -4.1083075E+05 
3.2675676E+00 -4.0185306E+05 
3.2756639E+00 -4.2130691E+05 
3.2837601E+00 -4.2233344E+05 
3.2918563E+00 -4.2833325E+05 
3.2999527E+00 -4.5274222E+05 
3.3080490E+00 -4.5755891E+05 
3.3161452E+00 -4.2349769E+05 
3.3242414E+00 -4.2709328E+05 
3.3323376E+00 -4.4128078E+05 
3.3404341E+00 -4.4371678E+05 
3.3485303E+00 -4.2658644E+05 
3.3566265E+00 -4.6330491E+05 
3.3647227E+00 -4.6332981E+05 
3.3728189E+00 -4.5875453E+05 
3.3809154E+00 -4.7504212E+05 
3.3890116E+00 -4.7139956E+05 
3.3971078E+00 -4.7059319E+05 
3.4052041E+00 -4.7129303E+05 
3.4133003E+00 -4.8686316E+05 
3.4213967E+00 -4.9873703E+05 
3.4294930E+00 -4.7439491E+05 
3.4375892E+00 -4.7823297E+05 
3.4456854E+00 -4.7575412E+05 
3.4537816E+00 -5.0223025E+05 
3.4618781E+00 -5.0747656E+05 
3.4699743E+00 -4.9396706E+05 
3.4780705E+00 -4.9617125E+05 
3.4861667E+00 -5.1307469E+05 
3.4942629E+00 -5.3077275E+05 
3.5023594E+00 -5.3961831E+05 
3.5104556E+00 -5.2147328E+05 
3.5185518E+00 -5.1430159E+05 
3.5266480E+00 -5.4232300E+05 
3.5347443E+00 -5.4697438E+05 
