Q(1/nm) DTAB200_norm_minus_branco1_norm.dat 
1.3649449E+00 7.2009238E+05 
1.3730412E+00 7.3486575E+05 
1.3811375E+00 7.4902344E+05 
1.3892337E+00 7.5296038E+05 
1.3973300E+00 7.3483281E+05 
1.4054263E+00 7.4483744E+05 
1.4135225E+00 7.2696819E+05 
1.4216188E+00 7.4265388E+05 
1.4297150E+00 7.3469606E+05 
1.4378114E+00 7.4576725E+05 
1.4459076E+00 7.3578238E+05 
1.4540038E+00 7.4786831E+05 
1.4621001E+00 7.6039594E+05 
1.4701964E+00 7.7609806E+05 
1.4782927E+00 7.5591362E+05 
1.4863889E+00 7.6017156E+05 
1.4944851E+00 7.3808244E+05 
1.5025815E+00 7.4186169E+05 
1.5106777E+00 7.8734644E+05 
1.5187740E+00 7.7971956E+05 
1.5268703E+00 7.9486175E+05 
1.5349665E+00 7.7913875E+05 
1.5430628E+00 7.8430562E+05 
1.5511590E+00 7.7382669E+05 
1.5592554E+00 7.7582575E+05 
1.5673516E+00 7.8369862E+05 
1.5754479E+00 7.7649606E+05 
1.5835441E+00 7.8828925E+05 
1.5916404E+00 7.7833606E+05 
1.5997367E+00 7.7097288E+05 
1.6078329E+00 7.7650812E+05 
1.6159292E+00 7.8642312E+05 
1.6240255E+00 8.1561538E+05 
1.6321217E+00 8.0410931E+05 
1.6402180E+00 7.7549462E+05 
1.6483142E+00 8.0331762E+05 
1.6564106E+00 8.0069506E+05 
1.6645068E+00 8.0416600E+05 
1.6726030E+00 7.9459438E+05 
1.6806993E+00 8.1423469E+05 
1.6887956E+00 8.2706169E+05 
1.6968919E+00 8.0064862E+05 
1.7049881E+00 8.1057719E+05 
1.7130843E+00 8.2284250E+05 
1.7211807E+00 8.1242356E+05 
1.7292769E+00 8.1838456E+05 
1.7373732E+00 8.0973381E+05 
1.7454695E+00 8.2762362E+05 
1.7535657E+00 8.2789244E+05 
1.7616620E+00 8.3702000E+05 
1.7697582E+00 8.2863362E+05 
1.7778546E+00 8.3737031E+05 
1.7859508E+00 8.4082919E+05 
1.7940470E+00 8.4048194E+05 
1.8021433E+00 8.4348250E+05 
1.8102396E+00 8.2246531E+05 
1.8183359E+00 8.1937906E+05 
1.8264321E+00 8.2925212E+05 
1.8345284E+00 8.2408662E+05 
1.8426247E+00 8.5244962E+05 
1.8507209E+00 8.6059619E+05 
1.8588172E+00 8.4379469E+05 
1.8669134E+00 8.5969800E+05 
1.8750098E+00 8.5188825E+05 
1.8831060E+00 8.4975794E+05 
1.8912022E+00 8.5301075E+05 
1.8992985E+00 8.7970262E+05 
1.9073948E+00 8.6031750E+05 
1.9154911E+00 8.6836275E+05 
1.9235873E+00 8.6613112E+05 
1.9316835E+00 8.6178988E+05 
1.9397799E+00 8.4629138E+05 
1.9478761E+00 8.5383750E+05 
1.9559724E+00 8.4580006E+05 
1.9640687E+00 8.6528000E+05 
1.9721649E+00 8.6813869E+05 
1.9802612E+00 8.7372119E+05 
1.9883574E+00 8.9122488E+05 
1.9964538E+00 8.6373244E+05 
2.0045500E+00 8.7273356E+05 
