Q(1/nm) CTAB100a_norm_minus_branco1_norm.dat 
4.4334297E+00 9.0719775E+05 
4.4415264E+00 8.9538431E+05 
4.4496226E+00 8.7097088E+05 
4.4577188E+00 8.5253338E+05 
4.4658151E+00 8.5063769E+05 
4.4739113E+00 8.7634906E+05 
4.4820075E+00 9.0963675E+05 
4.4901037E+00 8.6922600E+05 
4.4981999E+00 9.1493750E+05 
4.5062962E+00 9.0699138E+05 
4.5143924E+00 8.9231569E+05 
4.5224891E+00 8.8189556E+05 
4.5305853E+00 9.2017469E+05 
4.5386815E+00 9.2617612E+05 
4.5467777E+00 9.3151288E+05 
4.5548739E+00 9.1905125E+05 
4.5629702E+00 8.8897631E+05 
4.5710664E+00 9.0185156E+05 
4.5791626E+00 9.2847325E+05 
4.5872588E+00 8.8390806E+05 
4.5953555E+00 8.8172425E+05 
4.6034517E+00 8.8973738E+05 
4.6115479E+00 8.9543975E+05 
4.6196442E+00 9.2230200E+05 
4.6277404E+00 8.7747088E+05 
4.6358366E+00 9.0370256E+05 
4.6439328E+00 9.1102175E+05 
4.6520290E+00 8.8875069E+05 
4.6601253E+00 9.3303506E+05 
4.6682215E+00 8.7099631E+05 
4.6763182E+00 8.8620244E+05 
4.6844144E+00 9.1482756E+05 
4.6925106E+00 9.1114500E+05 
4.7006068E+00 8.9055181E+05 
4.7087030E+00 8.9562956E+05 
4.7167993E+00 9.3225962E+05 
4.7248955E+00 9.2900131E+05 
4.7329917E+00 9.0164519E+05 
4.7410879E+00 9.1890144E+05 
4.7491841E+00 9.2526594E+05 
4.7572808E+00 9.2330338E+05 
4.7653770E+00 9.2795450E+05 
4.7734733E+00 9.2858475E+05 
4.7815695E+00 9.0330381E+05 
4.7896657E+00 8.9172575E+05 
4.7977619E+00 8.7631431E+05 
4.8058581E+00 9.0866612E+05 
4.8139544E+00 9.6955788E+05 
4.8220506E+00 9.9194062E+05 
4.8301468E+00 9.6439975E+05 
4.8382435E+00 9.4099631E+05 
4.8463397E+00 9.0240106E+05 
4.8544359E+00 9.6586700E+05 
4.8625321E+00 9.4488262E+05 
4.8706284E+00 9.2018050E+05 
4.8787246E+00 9.5526012E+05 
4.8868208E+00 9.2123356E+05 
4.8949170E+00 8.3564819E+05 
4.9030132E+00 8.4924000E+05 
4.9111094E+00 9.0062675E+05 
4.9192061E+00 9.4982481E+05 
4.9273024E+00 9.7766181E+05 
4.9353986E+00 1.0243270E+06 
4.9434948E+00 1.0827822E+06 
4.9515910E+00 9.8976031E+05 
4.9596872E+00 8.7609881E+05 
4.9677835E+00 8.8009306E+05 
4.9758797E+00 9.0326781E+05 
4.9839759E+00 9.5739069E+05 
4.9920721E+00 1.0349478E+06 
5.0001688E+00 1.0678615E+06 
5.0082650E+00 9.8657156E+05 
5.0163612E+00 9.5866875E+05 
5.0244575E+00 9.3986812E+05 
5.0325537E+00 9.7521612E+05 
5.0406499E+00 9.1422850E+05 
5.0487461E+00 1.0408056E+06 
5.0568423E+00 9.3846044E+05 
5.0649385E+00 1.3603859E+06 
